time,tavg,tmin,tmax,Humidity (%),WindSpeed,Precipitation
06-07-2021,29.3,26.2,32.6,54.53055375,12.78183836,5.13
07-07-2021,29.7,27.3,33.4,52.67036831,8.01813113,8.16
08-07-2021,27.4,25.8,29.7,63.48007151,13.27826415,14.18
09-07-2021,28.5,26.1,32.1,69.36515851,13.15028404,6.22
10-07-2021,29,26.2,32.6,65.91127934,5.300671219,0
11-07-2021,29.3,26.2,33.7,63.82157412,10.77963499,8.86
12-07-2021,28.9,25.7,32.9,64.81089554,11.14677972,5.08
13-07-2021,28.6,25.5,32.5,64.86162765,12.48373584,0
14-07-2021,29,25.4,32.7,67.00327966,11.08315832,7.12
15-07-2021,29.5,25.5,33.4,60.59487639,8.200447258,5.11
16-07-2021,29.6,26.3,33.2,68.95731549,14.99023514,0.58
17-07-2021,29.8,27,32.9,66.37794731,13.9121279,3.61
18-07-2021,29.6,27.4,32.3,54.33697438,5.587246995,0
19-07-2021,29,27.1,31.5,51.14858786,10.14597303,2
20-07-2021,28.7,26.8,31.9,57.15251001,11.89658817,0
21-07-2021,28.4,26.2,31.7,66.64220758,8.695537964,5.13
22-07-2021,28.8,25.5,32.8,54.5878349,9.743654864,4.85
23-07-2021,27.5,26.5,29,53.27312924,9.12718053,8.67
24-07-2021,28.5,26.2,32.3,53.68567452,7.154495599,8.02
25-07-2021,29.4,26,33,67.43581286,9.54746137,0
26-07-2021,29.5,26.9,33,69.15647255,7.48681888,4.93
27-07-2021,27.9,26.5,30.5,59.36049578,13.8069939,5.11
28-07-2021,27.1,26,29.2,64.68357653,10.28147823,0
29-07-2021,27.4,25.8,30.6,50.717942,7.672971579,7.54
30-07-2021,26.9,25.8,28.7,67.01052206,12.2252317,1.42
31-07-2021,27.1,25.2,30.7,58.24115231,14.34768073,0
01-08-2021,28.6,25.7,32.7,54.56783167,8.71459595,2.16
02-08-2021,28.6,25.1,33.1,66.83797034,12.8974493,0
03-08-2021,28.5,25.7,31.8,53.71818564,8.713721551,0
04-08-2021,27.7,26.2,30.4,67.20796753,12.33094647,5.91
05-08-2021,28.3,26.3,31.5,50.03188315,7.724516222,0
06-08-2021,28.2,25.8,32.2,67.43988458,12.60445552,0
07-08-2021,28.5,26.5,31.9,57.49105303,13.60243501,0
08-08-2021,28.2,26.2,31.5,68.38550664,10.68452348,0
09-08-2021,29.1,26.4,32.6,56.16043541,5.443215953,0
10-08-2021,29.3,26.8,33.2,58.43306322,5.748692118,0
11-08-2021,28.9,26.4,32,68.57958443,7.728319801,6.29
12-08-2021,29,26,32.6,53.79656984,13.61889546,5.07
13-08-2021,29.6,26.7,33.2,62.50340256,7.914874725,0
14-08-2021,29.7,26.6,33.9,66.65740355,12.40656824,9.53
15-08-2021,28.8,26.1,33.2,62.15676931,9.467896469,0
16-08-2021,29,26.4,33.1,63.71920531,7.138688479,2.81
17-08-2021,29.1,26.5,32.9,59.90752074,14.38720495,9.66
18-08-2021,27.6,26.3,29.8,52.35946469,7.585565623,1.27
19-08-2021,28,25.9,31.4,67.89653989,6.639019229,7
20-08-2021,27.7,25.4,31.3,65.71383386,10.8926498,6.48
21-08-2021,28.5,25.9,31.9,55.73527744,14.81574207,0.56
22-08-2021,28.6,25.9,32.4,55.90511572,8.908631546,1.61
23-08-2021,29.2,26.5,33.3,50.26881466,5.641666098,0
24-08-2021,29,26.3,32.3,56.60196963,14.09344273,0
25-08-2021,29.2,26.7,33.4,59.5574228,10.60617114,0
26-08-2021,28.3,26.8,31.8,59.10334288,7.261430256,4.19
27-08-2021,27.6,26.2,29.5,64.56955835,14.31045455,0
28-08-2021,28.7,26.1,33,64.21603736,14.22806861,6.07
29-08-2021,28.4,25.7,32.8,68.69401491,13.94075032,0.77
30-08-2021,28.4,25.2,32.2,50.87369561,12.70675705,7.96
31-08-2021,28.4,25.6,32.6,53.32674244,7.722208172,0
01-09-2021,28.8,24.8,32.9,68.38227297,7.026118054,2.71
02-09-2021,28.8,26,33.3,69.68713258,7.411098255,0
03-09-2021,28.3,25.7,31.9,67.30817256,6.286779336,0
04-09-2021,28.6,25.7,32.7,53.9168757,14.89466122,1.69
05-09-2021,29.1,25.9,33.4,69.64889777,9.450240839,0
06-09-2021,28.4,26.2,32,65.28850961,13.21352002,2.7
07-09-2021,28.8,26.3,32,60.07316388,8.861406078,5.1
08-09-2021,27.8,25.7,29.9,58.91611868,14.0830272,0
09-09-2021,27.9,25.8,30.6,51.47837607,10.20894904,7.15
10-09-2021,28.2,25.7,31.3,65.28211682,6.109838452,0
11-09-2021,27,25.3,31.2,55.59257905,9.41460237,0
12-09-2021,28.2,25.7,32.5,51.33888565,14.97056725,0
13-09-2021,27.1,26.3,29,65.48286648,7.812987703,4.08
14-09-2021,27.2,26.1,30.3,64.76686124,12.40222314,5.84
15-09-2021,27.4,25.5,30.3,53.95047912,5.48887022,5.6
16-09-2021,27.9,25.3,31.4,62.61092426,14.70775832,0
17-09-2021,27.9,25.1,31.6,54.43965954,14.21443503,5.65
18-09-2021,28.5,25.5,32.2,62.49122608,10.10909364,7.28
19-09-2021,27.3,25.6,30.2,67.73116229,6.303096537,0.02
20-09-2021,27.4,25.2,30.8,66.52682231,10.27452463,0
21-09-2021,27,25,30.4,50.40977691,11.41629006,1.29
22-09-2021,26.8,24.9,29.6,59.06361304,10.40709679,8.71
23-09-2021,27.2,25.1,30,54.52996043,10.80748092,11.67
24-09-2021,28.2,23.8,32.8,62.97143838,11.73324082,0
25-09-2021,28.7,25.1,32.6,56.07835051,5.412466748,4.33
26-09-2021,28.6,26.1,33,66.21902735,7.768353791,4.84
27-09-2021,27.9,25.6,31.9,52.12393066,12.78887879,10.31
28-09-2021,27.2,24.8,30.8,52.47178227,7.956430694,3.83
29-09-2021,27.2,25.2,30.4,54.67803599,8.487110487,3.92
30-09-2021,26.8,25,29.9,51.23468401,12.55417336,1.22
01-10-2021,27.5,24.8,31.5,67.04422617,5.56787163,0
02-10-2021,28.3,25.9,31.8,52.06441336,6.525150649,0.17
03-10-2021,28.3,25.3,32.4,68.40392934,11.17108357,4.96
04-10-2021,28.4,24.8,32.2,50.05718553,5.838509759,0
05-10-2021,28.1,25.4,32.3,66.79891604,11.50660367,9.04
06-10-2021,28.5,25.2,32.9,69.77139532,13.57912285,4.33
07-10-2021,29.1,26,32.8,66.93198949,6.928743079,0
08-10-2021,29,25.8,33.4,58.0760016,5.698299347,4.34
09-10-2021,28.8,24.9,33.2,58.07587801,5.165464988,0.18
10-10-2021,27.8,23,32.9,69.53499819,11.48975984,11.3
11-10-2021,27.7,22.5,33,68.20963954,8.885243026,0
12-10-2021,28.3,23.5,33.1,66.03545302,7.840742231,2.37
13-10-2021,28.9,24.2,33.8,61.88703688,13.83483771,0
14-10-2021,28.1,24.2,32.8,55.51380767,13.98467063,6.49
15-10-2021,28.7,25.8,33.8,61.25317634,7.596336506,7.74
16-10-2021,27.7,24.8,32.8,59.68946331,14.79515141,0
17-10-2021,26.9,25,31.5,60.91260456,9.688465103,3.85
18-10-2021,26.2,24.2,28.7,62.09002808,9.59161867,11.58
19-10-2021,26.9,25,30.2,50.36574948,10.7506139,7.35
20-10-2021,27,24.6,30.9,66.59815276,8.573097221,10.82
21-10-2021,26,21.9,31,62.59149535,14.84791626,4.82
22-10-2021,25,19.8,31.6,63.15989153,8.70196879,0
23-10-2021,24.8,18.7,31.5,52.70195701,6.412736289,0
24-10-2021,24.7,19.2,30.8,60.08290188,14.21566872,0.18
25-10-2021,24.5,18.6,30.5,68.17840253,8.531899592,0
26-10-2021,24.3,18.8,30.2,63.68787877,9.31734846,11.57
27-10-2021,25.2,20.4,30.3,60.15620486,13.45324244,12.96
28-10-2021,25.3,20.9,30.4,66.25542477,9.866536035,6.39
29-10-2021,24.9,20.4,30.5,68.54204181,8.423226557,6.13
30-10-2021,25.1,20.1,30.8,60.54176992,14.77374643,0
31-10-2021,25.1,20.3,30.9,68.00744992,5.970005966,5.55
01-11-2021,24.5,19.7,30.3,56.33643453,7.658067772,0
02-11-2021,25.1,19.9,30.1,53.35000095,5.907109766,0
03-11-2021,24.9,21,30.1,57.96647695,5.20598763,10.52
04-11-2021,24.2,19.1,30.2,58.93318717,11.30684822,4.52
05-11-2021,23.9,18.7,30,65.82427705,14.59458473,6.56
06-11-2021,22.5,16.7,29.4,52.91214248,5.876796109,0
07-11-2021,22.3,15.7,29.3,57.70218159,11.18335702,0.73
08-11-2021,22.2,15.7,29.8,57.00584911,11.29321418,0.4
09-11-2021,22.5,15.4,30,61.5843678,5.904890193,8.44
10-11-2021,23,15.9,30.5,66.42750907,6.195417341,7.74
11-11-2021,24.6,18.3,31.1,56.3400738,7.426259484,7.42
12-11-2021,25.8,21.6,31.6,63.1140606,12.08105235,3.63
13-11-2021,24.7,23.2,27.1,60.4021297,9.385759141,10.05
14-11-2021,24.6,23.2,28,61.33482816,10.51452912,0
15-11-2021,24.2,21,27.2,67.4550195,9.634027564,1.57
16-11-2021,23.7,20.4,28.7,68.00241254,5.085824841,11.74
17-11-2021,23,18.3,28.6,69.86455164,13.50357615,3.5
18-11-2021,22.3,18,28.4,58.21544295,10.92554272,9.44
19-11-2021,22.9,17.7,29,55.8928526,13.86262912,0.74
20-11-2021,25.3,20.5,30.5,53.15313124,8.844576905,3.62
21-11-2021,25.4,21.6,30.4,50.21076721,11.02163684,8.28
22-11-2021,25.5,22.2,29.9,62.39726029,14.68500575,9.65
23-11-2021,24.7,20.1,30.3,61.96033567,6.563485371,2.58
24-11-2021,23.6,19.1,29.6,63.72959676,5.00883717,0
25-11-2021,23.1,17.9,29.8,50.02431298,14.84085441,0
26-11-2021,22.4,17.7,28.9,59.28725058,13.4560429,1.06
27-11-2021,21.2,16.5,28,62.81825417,8.963219794,5.37
28-11-2021,19.7,13.6,26.9,59.22488252,10.52995368,0
29-11-2021,19.6,13.9,27,60.68986858,11.31811534,5.31
30-11-2021,19.7,14.2,26.9,57.74758408,8.14481666,4.47
01-12-2021,19.7,13.4,27.3,63.81047536,8.044019764,0.69
02-12-2021,20.2,13.5,27.6,60.50047437,14.34961454,0
03-12-2021,21.1,14.7,27.7,64.34923881,6.407943352,5.51
04-12-2021,21.6,20.3,23.3,61.25501904,9.416179632,0
05-12-2021,21.6,20.4,24.5,65.03229636,13.16934869,24.69
06-12-2021,22.4,18.4,27.6,50.27032847,8.488739402,44.39
07-12-2021,22.3,17.7,28.1,55.49809098,12.5096093,12.34
08-12-2021,22.2,16.7,28.7,66.1878973,5.940497016,4.3
09-12-2021,22.6,19.1,27.1,64.71083349,14.62464383,34.77
10-12-2021,21.7,18.3,27.8,60.30261069,6.669257599,7.9
11-12-2021,21.6,16.5,27.9,55.4514156,14.63447917,16.01
12-12-2021,21.2,17.4,27.1,63.8845569,9.879894587,21.99
13-12-2021,19.6,14.3,26.2,52.64560961,9.871817926,0
14-12-2021,19,13.4,26,52.47588387,9.776643388,34.77
15-12-2021,18.6,12.9,25.6,60.75086386,6.989587407,29.05
16-12-2021,18.2,12.9,25.1,57.66320499,13.75356637,45.66
17-12-2021,18.6,11.1,25.9,61.64051522,12.81850545,20.7
18-12-2021,19.6,12.9,27.4,55.66275234,11.25918927,6.99
19-12-2021,18,13,24,53.83284253,13.70919161,0
20-12-2021,14.6,8.2,21.5,50.49068274,12.79368559,13.94
21-12-2021,15,9.1,22.8,56.3742847,14.17412897,13.54
22-12-2021,16.2,9.7,24.5,57.02161079,13.14878663,30.94
23-12-2021,16.6,9.2,25.5,69.68287526,5.689574829,9.18
24-12-2021,17.8,10.4,26.6,65.16982025,13.50543662,1.14
25-12-2021,19.7,12.6,27.9,66.56932038,6.394745279,0
26-12-2021,20.2,14.1,27.6,58.68019634,13.26703277,10.51
27-12-2021,20,13.7,27.7,69.81101487,6.305818497,1.33
28-12-2021,20.6,15.6,27.2,68.46389025,11.68310322,6.04
